,Full_Date,Month,Day,Year,Week Number,Day of Week,Day.1,Count
0,2012-01-01,1,1,2012,1,1,Sun,1
1,2012-01-02,1,2,2012,1,2,Mon,1
2,2012-01-03,1,3,2012,1,3,Tue,1
3,2012-01-04,1,4,2012,1,4,Wed,1
4,2012-01-05,1,5,2012,1,5,Thu,1
5,2012-01-06,1,6,2012,1,6,Fri,1
6,2012-01-07,1,7,2012,1,7,Sat,1
7,2012-01-08,1,8,2012,2,1,Sun,2
8,2012-01-09,1,9,2012,2,2,Mon,2
9,2012-01-10,1,10,2012,2,3,Tue,2
10,2012-01-11,1,11,2012,2,4,Wed,2
11,2012-01-12,1,12,2012,2,5,Thu,2
12,2012-01-13,1,13,2012,2,6,Fri,2
13,2012-01-14,1,14,2012,2,7,Sat,2
14,2012-01-15,1,15,2012,3,1,Sun,3
15,2012-01-16,1,16,2012,3,2,Mon,3
16,2012-01-17,1,17,2012,3,3,Tue,3
17,2012-01-18,1,18,2012,3,4,Wed,3
18,2012-01-19,1,19,2012,3,5,Thu,3
19,2012-01-20,1,20,2012,3,6,Fri,3
20,2012-01-21,1,21,2012,3,7,Sat,3
21,2012-01-22,1,22,2012,4,1,Sun,4
22,2012-01-23,1,23,2012,4,2,Mon,4
23,2012-01-24,1,24,2012,4,3,Tue,4
24,2012-01-25,1,25,2012,4,4,Wed,4
25,2012-01-26,1,26,2012,4,5,Thu,4
26,2012-01-27,1,27,2012,4,6,Fri,4
27,2012-01-28,1,28,2012,4,7,Sat,4
28,2012-01-29,1,29,2012,5,1,Sun,5
29,2012-01-30,1,30,2012,5,2,Mon,5
30,2012-01-31,1,31,2012,5,3,Tue,5
31,2012-02-01,2,1,2012,5,4,Wed,1
32,2012-02-02,2,2,2012,5,5,Thu,1
33,2012-02-03,2,3,2012,5,6,Fri,1
34,2012-02-04,2,4,2012,5,7,Sat,1
35,2012-02-05,2,5,2012,6,1,Sun,1
36,2012-02-06,2,6,2012,6,2,Mon,1
37,2012-02-07,2,7,2012,6,3,Tue,1
38,2012-02-08,2,8,2012,6,4,Wed,2
39,2012-02-09,2,9,2012,6,5,Thu,2
40,2012-02-10,2,10,2012,6,6,Fri,2
41,2012-02-11,2,11,2012,6,7,Sat,2
42,2012-02-12,2,12,2012,7,1,Sun,2
43,2012-02-13,2,13,2012,7,2,Mon,2
44,2012-02-14,2,14,2012,7,3,Tue,2
45,2012-02-15,2,15,2012,7,4,Wed,3
46,2012-02-16,2,16,2012,7,5,Thu,3
47,2012-02-17,2,17,2012,7,6,Fri,3
48,2012-02-18,2,18,2012,7,7,Sat,3
49,2012-02-19,2,19,2012,8,1,Sun,3
50,2012-02-20,2,20,2012,8,2,Mon,3
51,2012-02-21,2,21,2012,8,3,Tue,3
52,2012-02-22,2,22,2012,8,4,Wed,4
53,2012-02-23,2,23,2012,8,5,Thu,4
54,2012-02-24,2,24,2012,8,6,Fri,4
55,2012-02-25,2,25,2012,8,7,Sat,4
56,2012-02-26,2,26,2012,9,1,Sun,4
57,2012-02-27,2,27,2012,9,2,Mon,4
58,2012-02-28,2,28,2012,9,3,Tue,4
59,2012-02-29,2,29,2012,9,4,Wed,5
60,2012-03-01,3,1,2012,9,5,Thu,1
61,2012-03-02,3,2,2012,9,6,Fri,1
62,2012-03-03,3,3,2012,9,7,Sat,1
63,2012-03-04,3,4,2012,10,1,Sun,1
64,2012-03-05,3,5,2012,10,2,Mon,1
65,2012-03-06,3,6,2012,10,3,Tue,1
66,2012-03-07,3,7,2012,10,4,Wed,1
67,2012-03-08,3,8,2012,10,5,Thu,2
68,2012-03-09,3,9,2012,10,6,Fri,2
69,2012-03-10,3,10,2012,10,7,Sat,2
70,2012-03-11,3,11,2012,11,1,Sun,2
71,2012-03-12,3,12,2012,11,2,Mon,2
72,2012-03-13,3,13,2012,11,3,Tue,2
73,2012-03-14,3,14,2012,11,4,Wed,2
74,2012-03-15,3,15,2012,11,5,Thu,3
75,2012-03-16,3,16,2012,11,6,Fri,3
76,2012-03-17,3,17,2012,11,7,Sat,3
77,2012-03-18,3,18,2012,12,1,Sun,3
78,2012-03-19,3,19,2012,12,2,Mon,3
79,2012-03-20,3,20,2012,12,3,Tue,3
80,2012-03-21,3,21,2012,12,4,Wed,3
81,2012-03-22,3,22,2012,12,5,Thu,4
82,2012-03-23,3,23,2012,12,6,Fri,4
83,2012-03-24,3,24,2012,12,7,Sat,4
84,2012-03-25,3,25,2012,13,1,Sun,4
85,2012-03-26,3,26,2012,13,2,Mon,4
86,2012-03-27,3,27,2012,13,3,Tue,4
87,2012-03-28,3,28,2012,13,4,Wed,4
88,2012-03-29,3,29,2012,13,5,Thu,5
89,2012-03-30,3,30,2012,13,6,Fri,5
90,2012-03-31,3,31,2012,13,7,Sat,5
91,2012-04-01,4,1,2012,14,1,Sun,1
92,2012-04-02,4,2,2012,14,2,Mon,1
93,2012-04-03,4,3,2012,14,3,Tue,1
94,2012-04-04,4,4,2012,14,4,Wed,1
95,2012-04-05,4,5,2012,14,5,Thu,1
96,2012-04-06,4,6,2012,14,6,Fri,1
97,2012-04-07,4,7,2012,14,7,Sat,1
98,2012-04-08,4,8,2012,15,1,Sun,2
99,2012-04-09,4,9,2012,15,2,Mon,2
100,2012-04-10,4,10,2012,15,3,Tue,2
101,2012-04-11,4,11,2012,15,4,Wed,2
102,2012-04-12,4,12,2012,15,5,Thu,2
103,2012-04-13,4,13,2012,15,6,Fri,2
104,2012-04-14,4,14,2012,15,7,Sat,2
105,2012-04-15,4,15,2012,16,1,Sun,3
106,2012-04-16,4,16,2012,16,2,Mon,3
