Full_Date,Month,Day,Year,Week Number,Day of Week,Day.1,Count,Holiday Name,temp,precip,snow,windspeed,Holiday Observed
2014-02-01,2,1,2014,5,7,Sat,1,,31.5,0.17,,10.1,
2014-02-02,2,2,2014,6,1,Sun,1,,27.9,0.08,,10.2,
2014-02-03,2,3,2014,6,2,Mon,1,,17.8,0.0,,9.0,
2014-02-04,2,4,2014,6,3,Tue,1,,15.6,0.01,,12.7,
2014-02-05,2,5,2014,6,4,Wed,1,,19.4,0.09,,16.1,
2014-02-06,2,6,2014,6,5,Thu,1,,11.4,0.0,,12.8,
2014-02-07,2,7,2014,6,6,Fri,1,,6.7,0.0,,20.6,
2014-02-08,2,8,2014,6,7,Sat,2,,6.1,0.0,,8.0,
2014-02-09,2,9,2014,7,1,Sun,2,,12.1,0.04,,12.6,
2014-02-10,2,10,2014,7,2,Mon,2,,10.2,0.0,,14.8,
2014-02-11,2,11,2014,7,3,Tue,2,,7.4,0.0,,11.3,
2014-02-12,2,12,2014,7,4,Wed,2,,9.8,0.0,,14.7,
2014-02-13,2,13,2014,7,5,Thu,2,,18.4,0.0,,11.4,
2014-02-14,2,14,2014,7,6,Fri,2,,21.0,0.0,,19.5,
2014-02-15,2,15,2014,7,7,Sat,3,,16.7,0.0,,12.8,
2014-02-16,2,16,2014,8,1,Sun,3,,9.4,0.0,,9.0,
2014-02-17,2,17,2014,8,2,Mon,3,George Washington Day,13.9,0.0,,18.2,
2014-02-18,2,18,2014,8,3,Tue,3,,24.1,0.01,,24.0,
2014-02-19,2,19,2014,8,4,Wed,3,,35.2,0.0,,21.8,
2014-02-20,2,20,2014,8,5,Thu,3,,32.6,0.42,,12.7,
2014-02-21,2,21,2014,8,6,Fri,3,,38.8,0.42,,23.8,
2014-02-22,2,22,2014,8,7,Sat,4,,34.7,0.0,,28.7,
2014-02-23,2,23,2014,9,1,Sun,4,,30.2,0.0,,18.3,
2014-02-24,2,24,2014,9,2,Mon,4,,17.7,0.0,,23.0,
2014-02-25,2,25,2014,9,3,Tue,4,,13.5,0.0,,13.9,
2014-02-26,2,26,2014,9,4,Wed,4,,7.5,0.0,,21.8,
2014-02-27,2,27,2014,9,5,Thu,4,,5.7,0.0,,24.0,
2014-02-28,2,28,2014,9,6,Fri,4,,4.3,0.0,,6.8,
2014-03-01,3,1,2014,9,7,Sat,1,,24.1,0.0,,11.4,Spring Break- College
2014-03-02,3,2,2014,10,1,Sun,1,,9.8,0.03,,12.6,Spring Break- College
2014-03-03,3,3,2014,10,2,Mon,1,,1.4,0.0,,10.3,Spring Break- College
2014-03-04,3,4,2014,10,3,Tue,1,,7.6,0.0,,8.0,Spring Break- College
2014-03-05,3,5,2014,10,4,Wed,1,,13.9,0.0,,12.7,Spring Break- College
2014-03-06,3,6,2014,10,5,Thu,1,,17.6,0.0,,14.6,Spring Break- College
