name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Jamestown,2017-06-22,77.1,48.3,64.3,77.1,45.7,64.2,56.5,76.51,0.23,,12.5,,0,0,24.2,12.6,193.1,1014.3,30.9,9.6,,,,,2017-06-22T05:41:30,2017-06-22T20:56:33,0.99,"Rain, Partially cloudy",Becoming cloudy in the afternoon with afternoon rain.,rain,"72526604751,KBFD,74498914747,KDKK,72523504720,KJHW"
Jamestown,2017-06-23,71.6,66.3,69.1,71.6,66.3,69.1,64.1,84.34,0.69,,50,,0,0,30.5,13.8,212.2,1004.8,82,9.7,,,,,2017-06-23T05:41:46,2017-06-23T20:56:42,1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72526604751,KBFD,74498914747,KDKK,72523504720,KJHW"
Jamestown,2017-06-24,71.6,60.7,66.5,71.6,60.7,66.5,55.1,68.52,0.19,,29.17,,0,0,28.8,19.5,285.8,1008.8,38.6,9.9,,,,,2017-06-24T05:42:05,2017-06-24T20:56:48,0,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72526604751,KBFD,74498914747,KDKK,72523504720,KJHW"
Jamestown,2017-06-25,64.6,53.6,59.3,64.6,53.6,59.3,48.9,69.6,0.32,,20.83,,0,0,29,22.8,264.5,1015.6,31.8,9.9,,,,,2017-06-25T05:42:25,2017-06-25T20:56:52,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72526604751,KBFD,74498914747,KDKK,72523504720,KJHW"
Jamestown,2017-06-26,64.4,51.8,57.9,64.4,51.8,57.9,47.3,68.85,0.07,,25,,0,0,32.2,13.9,236,1016.2,45.4,9.9,,,,,2017-06-26T05:42:46,2017-06-26T20:56:54,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72526604751,KBFD,74498914747,KDKK,72523504720,KJHW"
Jamestown,2017-06-27,60.8,48.3,54.6,60.8,45.2,54.3,45.6,72.26,0.15,,45.83,,0,0,23.2,18.2,250.4,1016,56.9,9.9,,,,,2017-06-27T05:43:10,2017-06-27T20:56:54,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72526604751,KBFD,74498914747,KDKK,72523504720,KJHW"
Jamestown,2017-06-28,69.9,48.3,60.5,69.9,44.8,60.3,46.4,61.19,0,,0,,0,0,23,14.9,229.3,1019.2,27.1,9.9,,,,,2017-06-28T05:43:35,2017-06-28T20:56:52,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72526604751,KBFD,74498914747,KDKK,72523504720,KJHW"
Jamestown,2017-06-29,78.8,59.2,69.2,78.8,59.2,69.2,55.2,61.32,0,,4.17,,0,0,27.7,18.1,205.1,1014.6,51.3,9.9,,,,,2017-06-29T05:44:03,2017-06-29T20:56:48,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KERI,72526604751,KBFD,74498914747,KDKK,72523504720,KJHW"
Jamestown,2017-06-30,78.8,62.7,70.4,78.8,62.7,70.4,62.6,77.21,0.7,,25,,0,0,23.7,15.9,224.9,1012.6,56.8,9.4,,,,,2017-06-30T05:44:31,2017-06-30T20:56:41,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"72526604751,KBFD,74498914747,KDKK,72523504720,KJHW"
Jamestown,2017-07-01,75.2,62.8,67.5,75.2,62.8,67.5,61.7,82.25,0.94,,70.83,,0,0,29.9,15,240.1,1011.4,58,8.9,,,,,2017-07-01T05:45:02,2017-07-01T20:56:33,0.27,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72526604751,KBFD,74498914747,KDKK,72523504720,KJHW"
