Hour,Date,Month,Day,Year,Week Number,Day of Week,WeekDay,CountWeekDay,Holiday,temp,precip,windspeed,covid
0,2022-05-05,5,5,2022,18,3,Thursday,1,No Holiday,51.6,0.0,10.2,0.0
1,2022-05-05,5,5,2022,18,3,Thursday,1,No Holiday,51.6,0.0,10.2,0.0
2,2022-05-05,5,5,2022,18,3,Thursday,1,No Holiday,51.6,0.0,10.2,0.0
3,2022-05-05,5,5,2022,18,3,Thursday,1,No Holiday,51.6,0.0,10.2,0.0
4,2022-05-05,5,5,2022,18,3,Thursday,1,No Holiday,51.6,0.0,10.2,0.0
5,2022-05-05,5,5,2022,18,3,Thursday,1,No Holiday,51.6,0.0,10.2,0.0
6,2022-05-05,5,5,2022,18,3,Thursday,1,No Holiday,51.6,0.0,10.2,0.0
7,2022-05-05,5,5,2022,18,3,Thursday,1,No Holiday,51.6,0.0,10.2,0.0
8,2022-05-05,5,5,2022,18,3,Thursday,1,No Holiday,51.6,0.0,10.2,0.0
9,2022-05-05,5,5,2022,18,3,Thursday,1,No Holiday,51.6,0.0,10.2,0.0
10,2022-05-05,5,5,2022,18,3,Thursday,1,No Holiday,51.6,0.0,10.2,0.0
11,2022-05-05,5,5,2022,18,3,Thursday,1,No Holiday,51.6,0.0,10.2,0.0
12,2022-05-05,5,5,2022,18,3,Thursday,1,No Holiday,51.6,0.0,10.2,0.0
13,2022-05-05,5,5,2022,18,3,Thursday,1,No Holiday,51.6,0.0,10.2,0.0
14,2022-05-05,5,5,2022,18,3,Thursday,1,No Holiday,51.6,0.0,10.2,0.0
15,2022-05-05,5,5,2022,18,3,Thursday,1,No Holiday,51.6,0.0,10.2,0.0
16,2022-05-05,5,5,2022,18,3,Thursday,1,No Holiday,51.6,0.0,10.2,0.0
17,2022-05-05,5,5,2022,18,3,Thursday,1,No Holiday,51.6,0.0,10.2,0.0
18,2022-05-05,5,5,2022,18,3,Thursday,1,No Holiday,51.6,0.0,10.2,0.0
19,2022-05-05,5,5,2022,18,3,Thursday,1,No Holiday,51.6,0.0,10.2,0.0
20,2022-05-05,5,5,2022,18,3,Thursday,1,No Holiday,51.6,0.0,10.2,0.0
21,2022-05-05,5,5,2022,18,3,Thursday,1,No Holiday,51.6,0.0,10.2,0.0
22,2022-05-05,5,5,2022,18,3,Thursday,1,No Holiday,51.6,0.0,10.2,0.0
23,2022-05-05,5,5,2022,18,3,Thursday,1,No Holiday,51.6,0.0,10.2,0.0
0,2022-05-06,5,6,2022,18,4,Friday,1,No Holiday,50.3,0.26,14.8,0.0
1,2022-05-06,5,6,2022,18,4,Friday,1,No Holiday,50.3,0.26,14.8,0.0
2,2022-05-06,5,6,2022,18,4,Friday,1,No Holiday,50.3,0.26,14.8,0.0
3,2022-05-06,5,6,2022,18,4,Friday,1,No Holiday,50.3,0.26,14.8,0.0
4,2022-05-06,5,6,2022,18,4,Friday,1,No Holiday,50.3,0.26,14.8,0.0
