name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"jamestown, VA",2020-03-01,53.4,26.6,39.4,53.4,26.6,39.1,21,50.29,0,,0,,0,0,,10.2,202,1023.9,0,9.9,412.3,17.8,7,,2020-03-01T06:37:22,2020-03-01T18:01:41,0.18,Clear,Clear conditions throughout the day.,clear-day,"KPHF,72029703730,KFAF,72308693741,KJGG,72308793735,C3777"
"jamestown, VA",2020-03-02,69.4,41.1,55.2,69.4,38.3,54.7,34.1,47.1,0,,0,,0,0,23.9,16.5,240.3,1017.4,9.7,9.9,361.8,15.6,7,,2020-03-02T06:35:59,2020-03-02T18:02:40,0.23,Clear,Clear conditions throughout the day.,clear-day,"KPHF,72029703730,KFAF,KJGG,72308793735,C3777"
"jamestown, VA",2020-03-03,67.8,51.8,60.2,67.8,51.8,60.2,51,72.35,0,,4.17,,0,0,23.9,13.5,212,1007.2,22.1,9.9,180.2,3.2,4,,2020-03-03T06:34:35,2020-03-03T18:03:38,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KPHF,72029703730,KFAF,KJGG,72308793735,C3777"
"jamestown, VA",2020-03-04,64.2,44.4,56.2,64.2,44.4,56.2,36.6,51.42,0,,0,,0,0,17.2,9.9,254.6,1012.2,4.6,9.9,,,,,2020-03-04T06:33:11,2020-03-04T18:04:36,0.34,Clear,Clear conditions throughout the day.,clear-day,"KPHF,72401993773,72029703730,KFAF,72308693741,KJGG,72308793735"
"jamestown, VA",2020-03-05,55.2,44.7,49.9,55.2,44.7,49.5,34.4,56.1,0,,0,,0,0,23,8.1,86.8,1018.8,15.3,9.9,,,,,2020-03-05T06:31:46,2020-03-05T18:05:33,0.38,Clear,Clear conditions throughout the day.,clear-day,"KPHF,72401993773,72029703730,KFAF,KJGG,72308793735"
"jamestown, VA",2020-03-06,54.8,44.4,47.2,54.8,40.5,45.8,40.5,78.76,0.33,,50,,0,0,33.3,12.8,201.4,1010.8,73.2,8.6,,,,,2020-03-06T06:30:20,2020-03-06T18:06:31,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KPHF,72401993773,72029703730,KFAF,72308693741,KJGG,72308793735,KAKQ"
"jamestown, VA",2020-03-07,55,35.7,46.2,55,35.4,43.1,26.6,47.76,0,,0,,0,0,28.3,15.3,224,1024.3,45.1,9.9,248,3.6,3,,2020-03-07T06:28:54,2020-03-07T18:07:27,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KPHF,72029703730,KFAF,KJGG,D2887,72308793735"
"jamestown, VA",2020-03-08,62.1,30.3,46.6,62.1,30.3,46.5,27.2,51.11,0,,0,,0,0,,4.8,216,1033.8,0,9.9,256,3.7,3,,2020-03-08T07:27:28,2020-03-08T19:08:24,0.49,Clear,Clear conditions throughout the day.,clear-day,"KPHF,72401993773,72029703730,KFAF,72308693741,D2887,KJGG,72308793735"
"jamestown, VA",2020-03-09,73.1,46.1,58.8,73.1,42.6,58.1,32.5,38.49,0,,0,,0,0,24.2,10.3,259,1031.2,1.7,9.9,,,,,2020-03-09T07:26:01,2020-03-09T19:09:21,0.5,Clear,Clear conditions throughout the day.,clear-day,"KPHF,72401993773,72029703730,KFAF,74598013702,72308693741,KJGG,72308793735"
"jamestown, VA",2020-03-10,71.4,60.4,64.6,71.4,60.4,64.6,52.4,64.86,0,,4.17,,0,0,29.6,17.2,229.2,1024,17.3,9.9,108.8,1.6,1,,2020-03-10T07:24:34,2020-03-10T19:10:17,0.51,Clear,Clear conditions throughout the day.,clear-day,"KPHF,72029703730,KFAF,KJGG,D2887,72308793735"
"jamestown, VA",2020-03-11,69,51.8,59.6,69,51.8,59.6,49.4,70.22,0,,0,,0,0,,9,92.7,1018.2,22.7,9.9,120,2.6,1,,2020-03-11T07:23:06,2020-03-11T19:11:13,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KPHF,72401993773,72029703730,KFAF,72308693741,D2887,KJGG,72308793735,KAKQ"
"jamestown, VA",2020-03-12,69,48.2,55.7,69,48.2,55.8,50.4,83.51,0,,0,,0,0,,4,18.2,1016.5,17.6,9.9,,,,,2020-03-12T07:21:38,2020-03-12T19:12:09,0.56,Clear,Clear conditions throughout the day.,clear-day,"KPHF,72029703730,KFAF,KJGG,72308793735"
"jamestown, VA",2020-03-13,80,53.5,68.3,80,53.5,68.4,57.1,70.96,0.18,,16.67,,0,0,23.3,18.8,224.5,1013.5,17.6,9.7,,,,,2020-03-13T07:20:10,2020-03-13T19:13:04,0.6,Rain,Clear conditions throughout the day with morning rain.,rain,"KPHF,72029703730,KFAF,72308693741,KJGG,72308793735"
"jamestown, VA",2020-03-14,64.3,48.3,56.5,64.3,48.3,56.5,29.9,36.54,0,,0,,0,0,17.2,7.8,75.5,1026.6,25.8,9.9,,,,,2020-03-14T07:18:41,2020-03-14T19:13:59,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KPHF,72029703730,KFAF,KJGG,72308793735"
"jamestown, VA",2020-03-15,54.9,46.4,50.6,54.9,46.4,50.5,40.3,68.08,0,,0,,0,0,20.8,7.2,22.3,1028.6,82.2,9.9,116.5,1.7,1,,2020-03-15T07:17:12,2020-03-15T19:14:54,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KPHF,72029703730,KFAF,KJGG,D2887,72308793735"
"jamestown, VA",2020-03-16,58.4,44.7,49.6,58.4,44.7,49.4,39.8,70.05,0,,0,,0,0,21.9,10.6,34.3,1030.1,71.5,9.9,152,7.1,3,,2020-03-16T07:15:43,2020-03-16T19:15:49,0.76,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KPHF,72029703730,KFAF,D2887,KJGG,72308793735,C3777"
"jamestown, VA",2020-03-17,69.5,46.2,55.6,69.5,46.2,55.6,47.1,74.82,0,,0,,0,0,21.9,5.5,219.5,1022.7,49.2,9.9,216,7,5,,2020-03-17T07:14:14,2020-03-17T19:16:44,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KPHF,72401993773,72029703730,KFAF,72308693741,KJGG,D2887,72308793735,C3777"
"jamestown, VA",2020-03-18,60.4,51.8,55.3,60.4,51.8,55.3,45,69.21,0,,0,,0,0,20.8,10.3,34.4,1028.5,53.4,9.9,301.9,17.4,6,,2020-03-18T07:12:44,2020-03-18T19:17:39,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KPHF,72401993773,72029703730,KFAF,72308693741,KJGG,D2887,72308793735,C3777,KAKQ"
"jamestown, VA",2020-03-19,82.2,51.6,66,83.7,51.6,66.3,57.8,76.92,0.21,,25,,0,0,25.3,12.2,237.3,1022.9,43,9.5,292.6,20,8,,2020-03-19T07:11:15,2020-03-19T19:18:33,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KPHF,72401993773,72029703730,KFAF,72308693741,D2887,KJGG,72308793735,KAKQ,C3777"
"jamestown, VA",2020-03-20,87.4,69.6,77.5,87.4,69.6,77.7,62.7,62.39,0.02,,8.33,,0,0,31.4,20.4,249.5,1018.6,13.6,9.9,240.4,17.3,7,,2020-03-20T07:09:45,2020-03-20T19:19:27,0.94,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"KPHF,72401993773,72029703730,KFAF,72308693741,D2887,KJGG,72308793735,C3777"
"jamestown, VA",2020-03-21,71.3,48.2,58,71.3,48.2,58,52.6,82.5,0.09,,29.17,,0,0,27.7,11.2,124,1023,82.9,9.8,65.4,2.8,2,,2020-03-21T07:08:15,2020-03-21T19:20:22,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KPHF,72401993773,72029703730,KFAF,72308693741,KJGG,72308793735,C3777"
"jamestown, VA",2020-03-22,56.8,46.5,50.9,56.8,43.7,50.4,40.8,69.57,0,,4.17,,0,0,21.7,10.6,36.8,1031.4,58.2,9.9,295.2,13.8,6,,2020-03-22T07:06:45,2020-03-22T19:21:16,0.99,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KPHF,72029703730,KFAF,KJGG,72308793735,C3777"
"jamestown, VA",2020-03-23,50,46.4,47.9,48.3,42.1,45.7,46.1,93.44,0.63,,45.83,,0,0,23.8,11.5,205.3,1022.3,89.7,8,93.6,4.4,2,,2020-03-23T07:05:15,2020-03-23T19:22:09,1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KPHF,72401993773,72029703730,KFAF,72308693741,KJGG,72308793735,C3777,KAKQ"
"jamestown, VA",2020-03-24,58.5,46.4,51.4,58.5,45.2,51.2,45.6,81.21,0,,0,,0,0,,9.1,85.3,1020,60.1,9.8,256.6,12,5,,2020-03-24T07:03:45,2020-03-24T19:23:03,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KPHF,72401993773,72029703730,KFAF,72308693741,KJGG,72308793735,C3777,KAKQ"
"jamestown, VA",2020-03-25,53.5,46.4,49.6,53.5,43.9,48.8,48.7,96.8,0.85,,87.5,,0,0,20.8,9.2,39.7,1011.9,87.4,5.2,109.7,5.1,2,,2020-03-25T07:02:16,2020-03-25T19:23:57,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KPHF,72401993773,72029703730,KFAF,72308693741,KJGG,D2887,72308793735,C3777"
"jamestown, VA",2020-03-26,60.6,39.2,49.3,60.6,39.2,49.3,43.7,82.38,0.01,,8.33,,0,0,,7.1,170,1017.4,44.7,9,348.2,17.6,8,,2020-03-26T07:00:46,2020-03-26T19:24:51,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KPHF,72401993773,72029703730,KFAF,72308693741,KJGG,72308793735,C3777"
"jamestown, VA",2020-03-27,74.8,55.1,62.1,74.8,55.1,62.1,52.8,72.56,0,,0,,0,0,24.2,9.2,187.4,1011.9,13.4,9.9,401.3,13,7,,2020-03-27T06:59:16,2020-03-27T19:25:44,0.04,Clear,Clear conditions throughout the day.,clear-day,"KPHF,72029703730,KFAF,KJGG,72308793735,C3777"
"jamestown, VA",2020-03-28,80.1,55.6,64.8,81.7,55.6,64.9,57.8,79.1,0.01,,8.33,,0,0,,9.3,111.5,1013.7,28.2,9.7,,,,,2020-03-28T06:57:47,2020-03-28T19:26:38,0.07,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"KPHF,72029703730,KFAF,KJGG,72308793735"
"jamestown, VA",2020-03-29,87.2,55.5,68.9,89.1,55.5,69.5,60.5,77.67,0,,0,,0,0,18.3,8.8,124.6,1011.4,47.7,7.9,,,,,2020-03-29T06:56:17,2020-03-29T19:27:31,0.11,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KPHF,72401993773,72029703730,KFAF,72308693741,KJGG,72308793735"
"jamestown, VA",2020-03-30,75.3,57.1,66.4,75.3,57.1,66.4,47,53.92,0,,0,,0,0,23.1,16.6,204.4,1012.5,17.5,9.7,247.9,12.5,7,,2020-03-30T06:54:48,2020-03-30T19:28:25,0.15,Clear,Clear conditions throughout the day.,clear-day,"KPHF,72029703730,KFAF,KJGG,72308793735,C3777"
"jamestown, VA",2020-03-31,59,46.4,52,59,43.6,51.8,46,81.2,0.39,,33.33,,0,0,25.2,6.9,29.4,1012.2,16.4,8.9,112.7,5.3,3,,2020-03-31T06:53:19,2020-03-31T19:29:18,0.2,Rain,Clear conditions throughout the day with rain.,rain,"KPHF,72401993773,72029703730,KFAF,72308693741,KJGG,72308793735,C3777"
"jamestown, VA",2020-04-01,57.1,42.6,47.6,57.1,36.8,45.7,39.9,76.78,0.22,,41.67,,0,0,22.8,15.6,146,1007.3,68.9,9.6,231.8,10.8,6,,2020-04-01T06:51:50,2020-04-01T19:30:11,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KPHF,72401993773,72029703730,KFAF,72308693741,KJGG,D2887,72308793735,C3777"
"jamestown, VA",2020-04-02,64.1,44.8,54.7,64.1,44.6,54.2,33.1,47.01,0,,0,,0,0,32.5,21.9,323,1011,14.2,9.9,441.9,22.3,9,,2020-04-02T06:50:22,2020-04-02T19:31:05,0.31,Clear,Clear conditions throughout the day.,clear-day,"KPHF,72029703730,KFAF,72308693741,KJGG,D2887,72308793735,C3777"
"jamestown, VA",2020-04-03,71.2,46.7,58,71.2,45.5,57.8,31.7,39.05,0,,0,,0,0,33.8,22.8,261.8,1009.1,0.1,9.9,452.8,22.8,9,,2020-04-03T06:48:54,2020-04-03T19:31:58,0.36,Clear,Clear conditions throughout the day.,clear-day,"KPHF,72029703730,KFAF,72308693741,KJGG,D2887,72308793735,C3777"
"jamestown, VA",2020-04-04,60.3,46.6,53.3,60.3,46.6,53.2,43.6,70.28,0,,0,,0,0,20.8,6.8,103.7,1014.8,39,9.9,192.8,9.7,5,,2020-04-04T06:47:26,2020-04-04T19:32:51,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KPHF,72029703730,KFAF,KJGG,D2887,72308793735,C3777"
"jamestown, VA",2020-04-05,71.1,42.7,56.4,71.1,42.7,56.4,45.5,70.78,0,,0,,0,0,,10,114.1,1018.3,17.1,9.9,431.4,21.7,8,,2020-04-05T06:45:58,2020-04-05T19:33:44,0.45,Clear,Clear conditions throughout the day.,clear-day,"KPHF,72029703730,KFAF,KJGG,D2887,72308793735,C3777"
"jamestown, VA",2020-04-06,74.5,55.3,61.6,74.5,55.3,61.6,52.3,73.04,0.12,,8.33,,0,0,,8,177.9,1016.6,19.1,9.8,419.2,21.1,8,,2020-04-06T06:44:31,2020-04-06T19:34:38,0.48,Rain,Clear conditions throughout the day with rain clearing later.,rain,"KPHF,72029703730,KFAF,KJGG,D2887,72308793735,C3777"
"jamestown, VA",2020-04-07,80.3,51.6,63.4,80.6,51.6,63.5,55.2,78.88,0.08,,12.5,,0,0,25,12.2,103.3,1012.6,14.4,8.8,404.3,21.8,8,,2020-04-07T06:43:04,2020-04-07T19:35:31,0.5,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"KPHF,72029703730,KFAF,KJGG,D2887,72308793735,C3777"
"jamestown, VA",2020-04-08,82,60.8,68.7,81.4,60.8,68.7,56.3,67.51,0,,0,,0,0,28.9,16.8,185.8,1003.2,11.1,9.7,293.5,15.9,9,,2020-04-08T06:41:38,2020-04-08T19:36:25,0.5,Clear,Clear conditions throughout the day.,clear-day,"KPHF,72029703730,KFAF,KJGG,D2887,72308793735,C3777"
"jamestown, VA",2020-04-09,80.2,55.5,67.5,80,55.5,67.4,49.8,57.36,0.01,,8.33,,0,0,35.5,24.2,241.6,997.2,5.5,9.9,417,21,9,,2020-04-09T06:40:12,2020-04-09T19:37:18,0.52,Rain,Clear conditions throughout the day with morning rain.,rain,"KPHF,72029703730,KFAF,KJGG,D2887,72308793735,C3777"
"jamestown, VA",2020-04-10,57.1,46.5,52.5,57.1,42.3,51.6,25.8,36.1,0,,0,,0,0,35.9,24,301.5,1006,14.5,9.9,455.4,23,10,,2020-04-10T06:38:47,2020-04-10T19:38:11,0.54,Clear,Clear conditions throughout the day.,clear-day,"KPHF,72029703730,KFAF,KJGG,D2887,72308793735,C3777"
"jamestown, VA",2020-04-11,65.9,37.9,51.3,65.9,37.9,51.2,30.5,48.07,0,,0,,0,0,19.7,14.1,250,1016.6,0.4,9.9,475.3,24,9,,2020-04-11T06:37:22,2020-04-11T19:39:05,0.58,Clear,Clear conditions throughout the day.,clear-day,"KPHF,72029703730,KFAF,KJGG,D2887,72308793735,C3777"
"jamestown, VA",2020-04-12,76.7,53.4,65.1,76.7,53.4,65.1,47.6,53.88,0,,0,,0,0,29.1,17.2,192.9,1019.1,25.8,9.8,396,20,9,,2020-04-12T06:35:58,2020-04-12T19:39:58,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KPHF,72401993773,72029703730,KFAF,72308693741,KJGG,D2887,72308793735,C3777"
"jamestown, VA",2020-04-13,83.9,64.2,71.9,84.2,64.2,72,60.9,70.29,0.35,,25,,0,0,33.4,24.7,214.9,1007.6,30.3,9.3,211.6,9.9,6,,2020-04-13T06:34:35,2020-04-13T19:40:52,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KPHF,72029703730,KFAF,72308693741,KJGG,72308793735,C3777"
"jamestown, VA",2020-04-14,66.1,51.9,58.3,66.1,51.9,58.4,40.9,53.27,0,,0,,0,0,21.9,12.3,89,1016.9,23.8,9.9,469.2,23.6,9,,2020-04-14T06:33:12,2020-04-14T19:41:45,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KPHF,72029703730,KFAF,KJGG,D2887,72308793735,C3777"
"jamestown, VA",2020-04-15,56.5,40.9,47.2,56.5,32.9,45,35.5,67.01,0.05,,20.83,,0,0,24.2,15.9,189.1,1016.7,47.4,9.8,298,15,9,,2020-04-15T06:31:49,2020-04-15T19:42:39,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KPHF,72029703730,KFAF,KJGG,D2887,72308793735,C3777"
"jamestown, VA",2020-04-16,64,41,51.8,64,40,51.1,35,55.73,0,,0,,0,0,20.8,15.2,230.5,1020.9,1.8,9.9,483.5,24.4,9,,2020-04-16T06:30:28,2020-04-16T19:43:33,0.83,Clear,Clear conditions throughout the day.,clear-day,"KPHF,72029703730,KFAF,72308693741,KJGG,D2887,72308793735,C3777"
"jamestown, VA",2020-04-17,71.4,39.6,56,71.4,39.6,55.9,40.4,60.68,0,,0,,0,0,23.7,14.6,122.9,1022,0.7,9.9,483,24.3,9,,2020-04-17T06:29:07,2020-04-17T19:44:26,0.88,Clear,Clear conditions throughout the day.,clear-day,"KPHF,72029703730,KFAF,KJGG,D2887,72308793735,C3777"
"jamestown, VA",2020-04-18,64.3,44.7,59.3,64.3,44.7,59.3,47.5,67.04,0.39,,41.67,,0,0,26.4,14.9,225.8,1010,26.5,9.6,225.8,11.4,7,,2020-04-18T06:27:47,2020-04-18T19:45:20,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KPHF,72029703730,KFAF,KJGG,D2887,72308793735,C3777"
"jamestown, VA",2020-04-19,69.5,37.5,54.4,69.5,37.5,54.4,43.5,70.27,0,,0,,0,0,26.4,9.2,116.5,1013.6,3.3,9.9,378.8,19.1,9,,2020-04-19T06:26:27,2020-04-19T19:46:14,0.95,Clear,Clear conditions throughout the day.,clear-day,"KPHF,72029703730,KFAF,KJGG,D2887,72308793735,C3777"
"jamestown, VA",2020-04-20,60.5,51.5,56.2,60.5,51.5,56.2,53.7,91.82,0.4,,45.83,,0,0,19,6.3,121.3,1003.5,28.2,8.3,109.2,5.5,3,,2020-04-20T06:25:09,2020-04-20T19:47:07,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"KPHF,72029703730,KFAF,KJGG,D2887,72308793735,C3777"
"jamestown, VA",2020-04-21,73.1,51.7,60.7,73.1,51.7,60.7,48,65.89,0.03,,12.5,,0,0,32,15.1,251.8,1005,7.9,9.9,324.3,16.3,7,,2020-04-21T06:23:51,2020-04-21T19:48:01,0.99,Rain,Clear conditions throughout the day with rain.,rain,"KPHF,72401993773,72029703730,KFAF,72308693741,KJGG,D2887,72308793735,C3777"
"jamestown, VA",2020-04-22,67.7,37.7,54.5,67.7,37.7,54.5,31.6,45.96,0.01,,4.17,,0,0,25.1,15.4,198,1015.1,1.8,9.9,516.1,26,10,,2020-04-22T06:22:34,2020-04-22T19:48:55,1,Rain,Clear conditions throughout the day with morning rain.,rain,"KPHF,72029703730,KFAF,KJGG,D2887,72308793735,C3777"
